numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0020048S,LYCEE GENERAL ET TECHNOLOGIQUE,HENRI MARTIN,1  RUE GABRIEL GIRODON,ST QUENTIN,002,02100,LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN
0020049T,LYCEE GENERAL ET TECHNOLOGIQUE,PIERRE DE LA RAMEE,1  RUE JULES SIEGFRIED,ST QUENTIN,002,02100,LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DE LA RAMEE
0020050U,LGT LYCEE DES METIERS,CONDORCET,ROND-POINT JOLIOT CURIE,ST QUENTIN,002,02100,LGT LYCEE DES METIERS CONDORCET
0020051V,LP LYCEE DES METIERS,DE L AMEUBLEMENT,Rue FLEMING,ST QUENTIN,002,02100,LP LYCEE DES METIERS DE L AMEUBLEMENT
0020052W,LP LYCEE DES METIERS,COLARD NOEL,132 avenue DE LA REPUBLIQUE,ST QUENTIN,002,02100,LP LYCEE DES METIERS COLARD NOEL
0020059D,LYCEE GENERAL ET TECHNOLOGIQUE,GERARD DE NERVAL,14  RUE PAUL DEVIOLAINE,SOISSONS CEDEX,002,02209,LYCEE GENERAL ET TECHNOLOGIQUE GERARD DE NERVAL
0020060E,LYCEE GEN.ET TECHNOL.AGRICOLE,DE CREZANCY,1  RUE DE PARIS,CREZANCY,002,02650,LYCEE GEN.ET TECHNOL.AGRICOLE DE CREZANCY
0011162H,GRETA JURA SUD LEMAN,LYCEE SAINT EXUPERY,15 AVENUE SAINT EXUPERY,BELLEGARDE SUR VALSERINE,001,01200,GRETA JURA SUD LEMAN LYCEE SAINT EXUPERY
0011163J,GRETA VAL BUGEY LEMAN,LYCEE ARBEZ CARME,1  RUE PIERRE ET MARIE CURIE,BELLIGNAT,001,01100,GRETA VAL BUGEY LEMAN LYCEE ARBEZ CARME
0021476U,LPO LYCEE DES METIERS,LEONARD DE VINCI,1 espace JEAN GUERLAND,SOISSONS CEDEX,002,02331,LPO LYCEE DES METIERS LEONARD DE VINCI
0010099C,LYCEE PROF PRIVE des METIERS,SAINT JOSEPH,3 BIS RUE DU LYCEE,BOURG EN BRESSE,001,01000,LYCEE PROF PRIVE des METIERS SAINT JOSEPH
0010001W,LP LYCEE DES METIERS,ALEXANDRE BERARD,223 rue ALEXANDRE BERARD,AMBERIEU EN BUGEY,001,01500,LP LYCEE DES METIERS ALEXANDRE BERARD
0010006B,LPO LYCEE DES METIERS,SAINT-EXUPERY,15 avenue SAINT-EXUPERY,BELLEGARDE SUR VALSERINE C,001,01206,LPO LYCEE DES METIERS SAINT-EXUPERY
0010007C,LYCEE PROFESSIONNEL,BRILLAT SAVARIN,15 AVENUE SAINT EXUPERY,BELLEGARDE SUR VALSERINE C,001,01206,LYCEE PROFESSIONNEL BRILLAT SAVARIN
0010010F,LYCEE GENERAL ET TECHNOLOGIQUE,DU BUGEY,113 rue DU 5E RTM,BELLEY CEDEX,001,01306,LYCEE GENERAL ET TECHNOLOGIQUE DU BUGEY
0010014K,LYCEE GENERAL ET TECHNOLOGIQUE,EDGAR QUINET,5 avenue JEAN MARIE VERNE,BOURG EN BRESSE CEDEX,001,01011,LYCEE GENERAL ET TECHNOLOGIQUE EDGAR QUINET
0010016M,LYCEE POLYVALENT,JOSEPH-MARIE CARRIAT,1  RUE DE CROUY,BOURG EN BRESSE CEDEX,001,01011,LYCEE POLYVALENT JOSEPH-MARIE CARRIAT
0010020S,LP LYCEE DES METIERS,GEORGES CHARPAK,Avenue CHARLES DE GAULLE,CHATILLON SUR CHALARONNE,001,01400,LP LYCEE DES METIERS GEORGES CHARPAK
0010032E,LYCEE POLYVALENT,XAVIER BICHAT,AVENUE DU LAC,NANTUA,001,01130,LYCEE POLYVALENT XAVIER BICHAT
0040533H,LYCEE POLYVALENT,LES ISCLES,116  BOULEVARD REGIS RYCKEBUSH,MANOSQUE,004,04100,LYCEE POLYVALENT LES ISCLES
0040536L,PAYE AED,LYCEE PIERRE GILLES DE GENNES,QUARTIER SAINT CHRISTOPHE,DIGNE LES BAINS,004,04000,PAYE AED LYCEE PIERRE GILLES DE GENNES
0040543U,LYCEE GENERAL,ECOLE INTERNATIONALE PACA,159  AVENUE DR BERNARD FOUSSIER,MANOSQUE CEDEX,004,04102,LYCEE GENERAL ECOLE INTERNATIONALE PACA
0020012C,LPO LYCEE DES METIERS,JEAN DE LA FONTAINE,2 rue MOSBACH,CHATEAU THIERRY CEDEX,002,02405,LPO LYCEE DES METIERS JEAN DE LA FONTAINE
0020014E,LGT LYCEE DES METIERS,GAY LUSSAC,23 boulevard GAMBETTA,CHAUNY CEDEX,002,02302,LGT LYCEE DES METIERS GAY LUSSAC
0011326L,LYCEE GENERAL ET TECHNOLOGIQUE,DE LA COTIERE,270  CHEMIN DU GRAND CASSET,LA BOISSE,001,01120,LYCEE GENERAL ET TECHNOLOGIQUE DE LA COTIERE
0011242V,GRETA BUGEY,LYCEE ALEXANDRE BERARD,223 RUE ALEXANDRE BERARD,AMBERIEU EN BUGEY,001,01500,GRETA BUGEY LYCEE ALEXANDRE BERARD
0010050Z,LYCEE PROFESSIONNEL,,13 PLACE DES DEPORTES,OYONNAX,001,01100,LYCEE PROFESSIONNEL 
0020022N,LYCEE PROFESSIONNEL,JEAN MONNET,22 rue D ABOVILLE,LA FERE,002,02800,LYCEE PROFESSIONNEL JEAN MONNET
0020023P,LYCEE PROFESSIONNEL,,9 RUE DU CHATEAU,FERE EN TARDENOIS,002,02130,LYCEE PROFESSIONNEL 
0020031Y,LGT LYCEE DES METIERS,FREDERIC ET IRENE JOLIOT CURIE,1  PLACE DU PIGEON BLANC,HIRSON,002,02500,LGT LYCEE DES METIERS FREDERIC ET IRENE JOLIOT CURIE
0020032Z,LYCEE GENERAL ET TECHNOLOGIQUE,PAUL CLAUDEL,PLACE FOCH,LAON CEDEX,002,02001,LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL
0020034B,LYCEE POLYVALENT,PIERRE MECHAIN,19 rue LEO LAGRANGE,LAON CEDEX,002,02011,LYCEE POLYVALENT PIERRE MECHAIN
0021479X,LYCEE PROFESSIONNEL,FRANCOISE DOLTO,4 avenue DES LILAS,GUISE,002,02120,LYCEE PROFESSIONNEL FRANCOISE DOLTO
0021480Y,RESTAU.UNIV.DU LYCEE H.MARTIN,C.R.O.U.SD AMIENS,PLACE EDOUARD-BRANLY,ST QUENTIN,002,02100,RESTAU.UNIV.DU LYCEE H.MARTIN C.R.O.U.SD AMIENS
0011258M,LYCEE PROFESSIONNEL PRIVE,ENSEMBLE SCOLAIRE LAMARTINE,41 rue GEORGES GIRERD,BELLEY CEDEX,001,01302,LYCEE PROFESSIONNEL PRIVE ENSEMBLE SCOLAIRE LAMARTINE
0011276G,LYCEE GENERAL ET TECHNOLOGIQUE,DU VAL DE SAONE,220  CHEMIN D'ARRAS,TREVOUX CEDEX,001,01606,LYCEE GENERAL ET TECHNOLOGIQUE DU VAL DE SAONE
0020089L,LP LYCEE DES METIERS,FREDERIC ET IRENE JOLIOT CURIE,5 RUE RUE CHANZY,HIRSON,002,02500,LP LYCEE DES METIERS FREDERIC ET IRENE JOLIOT CURIE
0040034R,LYCEE GEN.ET TECHNOL.PRIVE,LE SACRE COEUR,2  AVENUE DES THERMES,DIGNE LES BAINS,004,04000,LYCEE GEN.ET TECHNOL.PRIVE LE SACRE COEUR
0020491Y,LYCEE GEN.ET TECHNOL.PRIVE,C.C.I.A.,ESPACE JEAN BOUIN,ST QUENTIN,002,02100,LYCEE GEN.ET TECHNOL.PRIVE C.C.I.A.
0040465J,LYCEE TECHNOLOGIQUE PRIVE,SACRE COEUR (LE),2 AVENUE DES THERMES,DIGNE LES BAINS,004,04000,LYCEE TECHNOLOGIQUE PRIVE SACRE COEUR (LE)
0011119L,LPO LYCEE DES METIERS,ARBEZ CARME,1 rue PIERRE ET MARIE CURIE,BELLIGNAT,001,01100,LPO LYCEE DES METIERS ARBEZ CARME
0011120M,LP LYCEE DES METIERS,ARBEZ CARME,1 RUE PIERRE ET MARIE CURIE,OYONNAX CEDEX,001,01117,LP LYCEE DES METIERS ARBEZ CARME
0022109G,LYCEE PROFESSIONNEL PRIVE,DU VAL DE SERRE,10 RUE DE LA HALLE,POUILLY SUR SERRE,002,02270,LYCEE PROFESSIONNEL PRIVE DU VAL DE SERRE
0050626D,ACHAT,LYCEE DOMINIQUE VILLARS,PLACE DE VERDUN,GAP CEDEX,005,05007,ACHAT LYCEE DOMINIQUE VILLARS
0050627E,PAYE AED,LYCEE DOMINIQUE VILLARS,PLACE DE VERDUN,GAP CEDEX,005,05007,PAYE AED LYCEE DOMINIQUE VILLARS
0020492Z,LYCEE PROF PRIVE des METIERS,ST VINCENT DE PAUL,13  AVENUE DE REIMS,SOISSONS CEDEX,002,02207,LYCEE PROF PRIVE des METIERS ST VINCENT DE PAUL
0020493A,LYCEE PROFESSIONNEL PRIVE,LACORDAIRE,ROUTE DE LAON,CHARMES,002,02800,LYCEE PROFESSIONNEL PRIVE LACORDAIRE
0030924N,LYCEE PROFESSIONNEL,VAL D'ALLIER,15 RUE DU BEAUPUY,VARENNES SUR ALLIER,003,03150,LYCEE PROFESSIONNEL VAL D'ALLIER
0030138J,CTRE PROMOTION PROFESSIONNELLE,DU LYCEE TECHNIQUE DE MOULINS,12 RUE DU REPOS,YZEURE,003,03400,CTRE PROMOTION PROFESSIONNELLE DU LYCEE TECHNIQUE DE MOULINS
0010069V,LYCEE GEN.ET TECHNOL.PRIVE,ENSEMBLE SCOLAIRE LAMARTINE,41 rue GEORGES GIRERD,BELLEY CEDEX,001,01302,LYCEE GEN.ET TECHNOL.PRIVE ENSEMBLE SCOLAIRE LAMARTINE
0010070W,LYCEE GEN.ET TECHNOL.PRIVE,SAINT PIERRE,7  RUE VILLENEUVE,BOURG EN BRESSE,001,01000,LYCEE GEN.ET TECHNOL.PRIVE SAINT PIERRE
0010072Y,LYCEE GENERAL ET TECHNOLOGIQUE,INTERNATIONAL,Avenue DES SPORTS,FERNEY VOLTAIRE,001,01210,LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL
0010075B,LYCEE GEN.ET TECHNOL.PRIVE,SAINT JOSEPH,101 rue HENRI GROBON,MIRIBEL,001,01700,LYCEE GEN.ET TECHNOL.PRIVE SAINT JOSEPH
0022042J,LPO LYCEE DES METIERS,JEAN BOUIN,Rue GASTON BACHELARD,ST QUENTIN,002,02100,LPO LYCEE DES METIERS JEAN BOUIN
0022044L,LPO LYCEE DES METIERS,LE CORBUSIER,Passage LE CORBUSIER,SOISSONS CEDEX,002,02331,LPO LYCEE DES METIERS LE CORBUSIER
0022045M,SECTION ENSEIGNT PROFESSIONNEL,LYCEE HOTELIER,PASSAGE LE CORBUSIER-CHEVREUX,SOISSONS CEDEX,002,02331,SECTION ENSEIGNT PROFESSIONNEL LYCEE HOTELIER
