id_cordée,lib_cordée,région,académie,département,commune,Composante /de l’cordée,Lycées sources,uai
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Belleville-sur-Saône,LYCEES SOURCES,   * Lycée Aiguerande   ,0693734J
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69, Saint Priest,LYCEES SOURCES,  * Lycée Condorcet ,0693478F
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Rillieux-la-Pape,LYCEES SOURCES,  *Lycée Albert Camus ,0692517L
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Lyon,LYCEES SOURCES,  *Lycée Auguste et Louis Lumière ),0690035N
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Villefranche sur Saône,LYCEES SOURCES,  *Lycée Claude Bernard  ,0690097F
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Lyon,LYCEES SOURCES,  *Lycée Colbert ,0690042W
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Villeurbanne,LYCEES SOURCES,  *Lycée Frédéric Faÿs ),0690103M
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,42,Rive-de-Gier,LYCEES SOURCES,  *Lycée Georges Brassens ,0420027B
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,42,Saint-Etienne,LYCEES SOURCES,  *Lycée Honoré d’Urfé ,0420042T
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Bron,LYCEES SOURCES,  *Lycée Jean-Paul Sartre,0693044J
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,42,Charlieu,LYCEES SOURCES,  *Lycée Jérémie de la Rue ,0420008F
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Lyon,LYCEES SOURCES,  *Lycée Juliette Récamier ,0690032K
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Lyon,LYCEES SOURCES,  *Lycée Lacassagne à Lyon (69),0690029G
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Tarare,LYCEES SOURCES,  *Lycée René Cassin à Tarare (69),0690085T
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,42,St Priest-en-Jarez,LYCEES SOURCES,  *Lycée Simone Weil  ,0420044V
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,1,Ambérieu-en-Bugey,LYCEES SOURCES, *Lycée de la Plaine de l’Ain ,0011194T
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,1,Trévoux,LYCEES SOURCES, *Lycée du Val de Saône ,0011276G
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,1,Nantua,LYCEES SOURCES, *Lycée Xavier Bichat ,0010032E
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,1,Bourg-en-Bresse,LYCEES SOURCES,*Lycée Carriat ,0010017N
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,69,Décines,LYCEES SOURCES,*Lycée Charlie Chaplin ,0692800U
C0104,Programme Egalité des chances et démocratisation-Entrer à l'IEP,Rhône-Alpes,Lyon,1,Belley,LYCEES SOURCES,*Lycée du Bugey ,0011010T
"C0090,""Limousin, terre de réussite"",Limousin,Limoges,23,,COLLEGES SOURCES,Collèges creusois de rattachement des lycées sources,NR"
C0100,Ouverture sociale des CPGE et école d'été,Rhône-Alpes,Lyon,,,LYCEES SOURCES,Elèves boursiers de tous les lycées de l'académie,NR
C0033,Entre en prépa c'est réalisable,Aquitaine,Bordeaux,33,Bordeaux,LYCEE(S) AVEC CPGE,En association avec les autres lycées à CPGE de l'académie de Bordeaux,NR
C0178,Groupe ESC Troyes,Champagne-Ardennes,Reims,52,Chaumont,LYCEES SOURCES,Lycée  Bouchardon,0520844K
C0088,Horizons-Première cordée de la réussite internationale,Nord-Pas-de-Calais,Lille,59,Lille,LYCEE(S) AVEC CPGE,Lycée  César Baggio,0590121L
C0088,Horizons-Première cordée de la réussite internationale,Nord-Pas-de-Calais,Lille,59,Lille,LYCEES SOURCES,Lycée  César Baggio,0590121L
"C0091,""Ruralité : ambition, mobilité et réussite"",Limousin,Limoges,19,Tulle,LYCEE(S) AVEC CPGE,Lycée  Perrier,0190032G"
"C0091,""Ruralité : ambition, mobilité et réussite"",Limousin,Limoges,19,Tulle,LYCEES SOURCES,Lycée  Perrier,0190032G"
C0212,Cordée de la réussite-CPGE Lycée Kleber,Alsace,Strasbourg,67,Barr,LYCEES SOURCES,Lycée  Schuré,0670002N
C0161,ENS - PSU - TALENS,Ile-de-France,Paris,75003,Paris,LYCEE(S) AVEC CPGE,Lycée  Turgot,0750647W
C0164,OPTIM,Ile-de-France,Paris,75003,Paris,LYCEE(S) AVEC CPGE,Lycée  Turgot,0750647W
